danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.56,0.605,11,-11.209,0,0.0348,0.0408,0.000162,0.0585,0.756,144.478,279693,4,1
0.241,0.468,2,-9.579,1,0.0272,0.534,0.0,0.161,0.451,91.581,112707,3,1
0.457,0.763,7,-3.459,0,0.255,0.318,0.0,0.0322,0.87,175.043,231360,3,1
0.929,0.515,5,-8.103,1,0.0629,0.427,0.596,0.226,0.589,101.009,195387,4,1
0.369,0.403,3,-7.996,1,0.0259,0.827,0.0541,0.106,0.177,154.899,241917,3,1
0.395,0.415,3,-8.461,1,0.0338,0.242,0.912,0.134,0.143,126.875,208707,4,1
0.525,0.852,7,-9.519,1,0.222,0.731,5.11e-05,0.218,0.884,157.404,161907,4,1
0.358,0.869,4,-6.08,1,0.0449,0.00243,0.102,0.129,0.797,123.669,396637,4,1
0.17,0.0479,2,-27.021,1,0.0438,0.981,0.906,0.0795,0.0304,75.664,428153,3,1
0.218,0.179,3,-24.814,1,0.0397,0.966,0.956,0.0858,0.0383,163.743,339444,4,1
0.176,0.514,8,-12.05,1,0.0308,0.816,0.637,0.117,0.154,80.018,220999,4,1
0.576,0.192,2,-15.664,0,0.0385,0.485,5.58e-06,0.116,0.454,98.713,162093,4,1
0.324,0.163,9,-13.909,0,0.0416,0.974,0.844,0.0892,0.0852,139.814,311240,4,1
0.554,0.824,5,-5.886,1,0.0496,0.0128,0.000802,0.451,0.963,168.956,163280,4,1
0.6,0.537,9,-7.777,0,0.0362,0.0468,0.0038,0.206,0.126,90.061,256027,4,1
0.591,0.172,1,-9.045,1,0.0398,0.92,0.0,0.127,0.736,81.289,139092,3,1
0.352,0.628,1,-6.259,1,0.0428,0.0264,4.74e-05,0.0952,0.387,140.431,222634,4,1
0.595,0.279,2,-12.794,1,0.0306,0.838,0.00605,0.0841,0.212,92.345,176080,3,1
0.491,0.0964,6,-14.795,0,0.041,0.737,0.0,0.117,0.122,106.067,187998,4,1
0.61,0.385,9,-8.764,0,0.0277,0.96,0.442,0.0782,0.128,108.967,322994,4,1
0.643,0.199,0,-12.19,1,0.0581,0.869,0.0,0.106,0.386,46.572,138006,4,1
0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,193750,4,1
0.506,0.895,4,-4.069,1,0.0363,0.0417,5.47e-06,0.252,0.806,140.044,187360,4,1
0.422,0.789,11,-6.105,1,0.082,0.136,0.0,0.0859,0.668,94.488,256293,4,1
0.765,0.86,7,-4.75,1,0.0572,0.00176,0.0,0.214,0.689,138.019,153003,4,1
0.289,0.381,4,-7.738,0,0.0331,0.205,0.0,0.132,0.0758,114.566,231733,4,1
0.418,0.29,11,-10.925,1,0.0504,0.885,0.0,0.0813,0.314,166.951,233342,3,1
0.0832,0.174,6,-21.967,0,0.0399,0.989,0.954,0.168,0.0704,83.491,176040,4,1
0.558,0.204,0,-20.49,1,0.0333,0.851,0.000709,0.129,0.554,112.531,169053,4,1
0.116,0.13,0,-18.278,1,0.0355,0.774,0.914,0.111,0.0666,80.611,333347,4,1
0.492,0.116,2,-15.15,0,0.0379,0.899,1.93e-06,0.0888,0.434,111.787,149720,4,1
0.626,0.975,1,-6.669,1,0.0474,0.23,0.86,0.71,0.586,130.049,302424,4,1
0.695,0.655,4,-9.279,1,0.173,0.743,0.0,0.173,0.747,118.02,210320,4,1
0.697,0.775,8,-6.664,1,0.083,0.0318,0.0,0.232,0.826,113.886,193792,4,1
0.666,0.758,1,-9.355,1,0.0303,0.34,0.0159,0.188,0.933,95.028,227240,4,1
0.486,0.854,11,-5.667,0,0.0563,0.000446,0.00075,0.0584,0.643,156.007,157659,4,1
0.528,0.423,8,-7.381,1,0.0264,0.678,0.00148,0.167,0.249,135.917,214852,4,1
0.713,0.546,8,-7.173,1,0.0565,0.123,0.0,0.109,0.458,97.854,172636,4,1
0.684,0.481,0,-10.305,1,0.039,0.228,0.0,0.157,0.481,121.21,140227,4,1
0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4,1
0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811,125520,4,1
0.595,0.816,4,-3.552,1,0.0743,0.179,0.0,0.129,0.573,108.115,202440,4,1
0.527,0.134,4,-11.264,1,0.0348,0.932,0.0,0.103,0.479,98.879,224107,4,1
0.273,0.227,0,-15.742,1,0.0351,0.848,2.31e-06,0.102,0.142,129.272,160307,4,1
0.527,0.279,10,-12.679,0,0.0297,0.519,0.0211,0.116,0.256,90.728,238693,4,1
0.232,0.238,11,-12.048,0,0.0348,0.555,0.0078,0.13,0.105,121.842,192787,4,1
0.404,0.193,11,-12.501,1,0.0305,0.794,0.000296,0.103,0.273,77.026,134040,4,1
0.41,0.196,0,-15.956,1,0.0383,0.953,0.892,0.0974,0.0622,78.823,189800,4,1
0.462,0.738,4,-4.339,1,0.033,0.0241,0.0,0.293,0.37,131.604,205213,4,1
0.602,0.596,4,-6.119,1,0.103,0.574,0.0,0.259,0.869,134.415,191867,4,1
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,178206,4,1
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4,1
0.42,0.691,9,-8.56,1,0.0501,0.31,0.0427,0.109,0.0383,115.326,301733,4,1
0.701,0.507,8,-7.106,1,0.0353,0.14,0.0,0.108,0.146,82.009,252337,4,1
0.596,0.366,7,-11.144,1,0.115,0.63,7.04e-06,0.0554,0.229,84.394,193668,4,1
0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147,4,1
0.516,0.342,4,-8.985,1,0.0425,0.55,0.0,0.21,0.0993,102.819,206459,4,1
0.67,0.841,2,-5.217,1,0.18,0.204,0.000294,0.229,0.742,133.918,192670,4,1
0.596,0.366,7,-11.144,1,0.115,0.63,7.04e-06,0.0554,0.229,84.394,193668,4,1
0.261,0.302,5,-8.19,0,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,278987,3,1
0.565,0.548,5,-8.376,1,0.18,0.4,0.0,0.252,0.159,104.892,192000,4,1
0.552,0.347,6,-9.542,1,0.0303,0.79,2.15e-06,0.111,0.173,113.809,211653,4,1
0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,219840,4,1
0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,4,1
0.58,0.318,2,-8.926,1,0.0279,0.756,0.000171,0.117,0.295,129.757,228533,3,1
0.857,0.621,9,-6.376,0,0.0825,0.148,0.0,0.0865,0.668,97.989,204467,4,1
0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133,4,1
0.411,0.204,0,-11.575,1,0.0578,0.855,0.0,0.143,0.337,70.853,179120,4,1
0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4,1
0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,1
0.119,0.031,2,-31.179,1,0.0483,0.964,0.165,0.111,0.0388,88.858,156573,4,1
0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4,1
0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,293147,3,1
0.209,0.00299,2,-33.974,1,0.0491,0.992,0.955,0.104,0.039,66.685,442172,3,1
0.28,0.0136,5,-31.915,0,0.0432,0.993,0.915,0.062,0.0751,69.931,193267,3,1
0.33,0.00274,2,-37.342,0,0.0617,0.992,0.908,0.0668,0.188,61.088,143532,4,1
0.296,0.0644,7,-22.715,0,0.0405,0.994,0.879,0.0748,0.354,79.031,125200,4,1
0.458,0.00493,11,-32.958,1,0.0498,0.995,0.965,0.0674,0.0717,136.549,146880,1,1
0.252,0.0578,1,-26.184,1,0.0518,0.953,0.0163,0.0721,0.0391,108.013,141707,4,1
0.164,0.0185,3,-30.778,0,0.0412,0.988,0.888,0.0801,0.078,86.65,157067,4,1
0.429,0.258,7,-16.967,0,0.0549,0.957,0.893,0.115,0.0972,78.809,112353,1,1
0.158,0.0122,7,-27.822,0,0.0458,0.927,0.829,0.0874,0.0394,106.244,314387,3,1
0.139,0.11,0,-16.155,0,0.0362,0.453,0.902,0.107,0.0377,174.865,300213,3,1
0.342,0.0179,1,-24.846,1,0.0387,0.982,0.906,0.0831,0.0382,61.757,334053,4,1
0.0652,0.342,10,-12.742,0,0.0483,0.154,0.857,0.11,0.0335,65.602,371747,4,1
0.146,0.00849,0,-36.382,0,0.0384,0.97,0.932,0.101,0.0389,77.324,413480,4,1
0.372,0.00554,7,-31.798,1,0.0535,0.995,0.837,0.0648,0.0678,58.292,199097,4,1
0.309,0.049,4,-22.994,1,0.0461,0.995,0.9,0.0689,0.0349,69.658,254653,4,1
0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,1
0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,311107,3,1
0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427,4,1
