danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,261467,4
0.251,0.252,9,-14.478,1,0.0375,0.693,0.00706,0.0968,0.0395,69.988,219733,4
0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,343120,4
0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4
0.467,0.392,9,-9.355,1,0.0908,0.2,0.0174,0.106,0.313,145.104,333987,4
0.407,0.192,7,-10.99,1,0.0368,0.637,3.33e-06,0.21,0.159,128.173,293840,4
0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,193039,4
0.857,0.386,1,-9.761,1,0.168,0.243,0.0931,0.111,0.661,125.017,186347,4
0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,218005,4
0.521,0.254,9,-14.409,0,0.0399,0.815,0.884,0.114,0.153,125.021,298440,4
0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685,4
0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,267707,4
0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,186192,4
0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,383639,4
0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.969,148318,4
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
0.732,0.873,0,-5.965,1,0.0321,0.0449,0.000803,0.347,0.662,128.029,187088,3
0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783,4
0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,196800,4
0.749,0.729,6,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004,131872,1
0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,172533,4
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4
0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707,261228,4
0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424,4
0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4
0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,161831,4
0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,182347,4
0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067,160688,4
0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,144846,4
0.786,0.786,4,-6.372,0,0.0512,0.445,2.12e-06,0.0947,0.611,100.123,147011,1
0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4
0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,254366,3
0.485,0.302,3,-6.704,1,0.101,0.768,0.049,0.0755,0.246,160.947,132097,5
0.784,0.653,11,-2.261,0,0.0423,0.587,8.44e-05,0.268,0.611,133.08,113233,4
0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,155152,4
0.492,0.427,9,-6.37,0,0.372,0.364,0.00482,0.53,0.443,80.492,123692,5
0.83,0.626,1,-6.637,1,0.034,0.688,1.23e-06,0.112,0.794,130.004,197538,4
0.469,0.506,0,-6.283,1,0.0291,0.587,0.0,0.102,0.217,133.403,233031,4
0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,172533,4
0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,171292,4
0.623,0.462,4,-7.82,0,0.0326,0.397,0.0115,0.0492,0.344,73.007,388960,4
0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,274192,4
0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,176027,4
0.428,0.413,0,-7.783,1,0.0281,0.827,9.35e-06,0.108,0.355,79.646,170045,4
0.744,0.747,11,-4.281,0,0.0824,0.00691,2.03e-06,0.0739,0.368,120.077,178880,4
0.871,0.158,3,-10.889,0,0.102,0.648,0.0363,0.113,0.46,126.078,129524,4
0.402,0.721,7,-5.21,1,0.0366,0.499,1.22e-05,0.2,0.469,154.042,238000,4
0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424,4
0.33,0.501,10,-9.028,1,0.037,0.49,0.0,0.243,0.411,112.305,258107,4
0.407,0.798,4,-4.405,0,0.0491,0.46,0.0,0.0918,0.233,145.905,299247,4
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,178206,4
0.923,0.678,3,-6.841,0,0.445,0.26,0.0,0.115,0.72,139.966,113143,4
0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459,4
0.499,0.551,10,-7.407,0,0.12,0.0422,6.82e-06,0.0938,0.493,86.533,187385,5
0.618,0.553,9,-7.937,0,0.0346,0.0138,0.00409,0.151,0.0962,100.962,192475,4
0.911,0.568,1,-11.472,1,0.16,0.615,0.00023,0.148,0.923,113.937,85560,4
0.788,0.627,0,-9.072,0,0.0751,0.693,0.0,0.232,0.909,118.093,165894,4
0.703,0.995,8,-3.615,0,0.0552,0.0484,0.0126,0.316,0.221,155.965,140798,4
0.652,0.891,10,1.808,0,0.0368,0.001,0.0148,0.336,0.576,100.265,93650,4
0.614,0.605,7,-7.77,0,0.0272,0.319,0.0,0.298,0.41,105.02,304000,4
0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,144846,4
0.778,0.687,11,-8.568,0,0.105,0.578,0.0105,0.356,0.839,117.008,266667,4
0.639,0.639,1,-6.673,0,0.0355,0.273,0.0,0.204,0.467,111.99,199821,4
0.542,0.77,5,-3.852,0,0.147,0.215,0.0,0.0893,0.489,159.818,180141,4
0.248,0.354,9,-9.114,1,0.0327,0.443,0.0,0.349,0.257,172.148,196343,4
0.785,0.28,4,-1.8,0,0.488,0.417,5.13e-06,0.146,0.498,86.451,117577,5
0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,160219,4
0.706,0.831,8,-6.582,1,0.188,0.0947,0.0,0.105,0.711,149.96,204936,4
0.81,0.537,1,-5.107,1,0.0541,0.352,2.26e-05,0.252,0.544,117.011,166520,4
0.447,0.428,4,-6.792,0,0.303,0.821,0.0,0.0841,0.53,168.966,149538,3
0.39,0.558,4,-8.92,0,0.0282,0.499,0.0284,0.173,0.292,94.788,224842,4
0.598,0.934,1,-3.75,1,0.112,0.0061,1.48e-06,0.326,0.319,92.444,196754,4
0.942,0.461,11,-8.233,0,0.302,0.0726,9.54e-06,0.111,0.281,105.025,137143,4
0.532,0.8,2,-5.261,1,0.148,0.202,0.0,0.296,0.963,160.848,260859,4
0.899,0.7,2,-5.494,1,0.11,0.218,0.000527,0.0906,0.897,134.831,109867,4
0.658,0.742,1,-6.475,0,0.241,0.034,0.0,0.0992,0.458,93.117,168942,4
0.871,0.728,1,-5.79,1,0.0663,0.0483,4.45e-06,0.0502,0.703,99.972,180544,4
0.599,0.82,6,-8.743,1,0.117,0.267,3.86e-05,0.112,0.44,195.952,122496,4
0.733,0.527,0,-5.985,0,0.0486,0.364,0.0,0.0999,0.371,110.045,321742,4
0.717,0.502,2,-6.329,1,0.0479,0.208,1.31e-05,0.12,0.424,180.01,202059,4
0.667,0.912,11,-2.704,0,0.104,0.154,0.0,0.351,0.675,95.031,187920,4
0.671,0.966,7,-3.413,1,0.0734,0.15,0.108,0.0841,0.818,120.864,162645,4
0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,274192,4
0.527,0.492,1,-9.774,1,0.279,0.0047,0.0,0.306,0.234,164.005,456934,4
0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,267707,4
0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,140733,4
0.65,0.655,2,-5.43,1,0.0385,0.0285,0.0,0.159,0.432,154.993,161094,4
0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,144000,4
0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,270698,4
0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,228267,4
0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,383639,4
0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,161342,4
0.686,0.733,2,-5.268,1,0.0576,0.00567,0.0,0.246,0.141,130.095,147747,4
0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,169840,4
0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,264324,4
0.598,0.696,2,-4.789,1,0.112,0.0153,0.0,0.219,0.209,91.057,232774,4
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4
0.894,0.66,11,-5.349,0,0.33,0.0243,0.0,0.139,0.181,148.072,142703,4
0.915,0.596,1,-4.462,0,0.0729,0.0445,0.0,0.108,0.64,121.992,165373,4
0.716,0.664,6,-7.297,0,0.0571,0.11,0.0,0.11,0.209,112.054,205347,4
0.652,0.806,5,-5.707,0,0.302,0.122,1.08e-05,0.842,0.779,159.947,198293,4
0.811,0.64,5,-5.63,0,0.274,0.0957,0.0,0.127,0.527,145.031,148552,4
0.759,0.546,5,-8.159,0,0.484,0.675,0.0,0.591,0.651,90.059,131292,3
0.774,0.818,4,-2.825,0,0.145,0.127,0.0,0.0529,0.438,142.084,209577,4
0.768,0.723,1,-5.06,1,0.169,0.0167,1.47e-05,0.127,0.211,136.003,148240,4
0.93,0.682,9,-8.799,1,0.331,0.028,0.0,0.129,0.962,126.003,119016,4
0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,121399,4
0.654,0.636,8,-6.904,1,0.0845,0.00258,0.0,0.412,0.267,75.486,140107,4
0.804,0.573,9,-8.654,1,0.33,0.238,0.00817,0.372,0.701,121.961,94426,4
0.942,0.461,11,-8.233,0,0.302,0.0726,9.54e-06,0.111,0.281,105.025,137143,4
0.574,0.567,7,-7.126,0,0.465,0.164,0.0,0.258,0.526,75.965,229938,4
0.781,0.569,1,-7.858,1,0.0978,0.0534,0.0,0.098,0.0739,121.971,125902,4
0.793,0.492,9,-8.583,0,0.0772,0.0527,0.0,0.0646,0.198,86.978,229187,4
0.681,0.758,1,-6.524,1,0.188,0.00465,0.0,0.555,0.331,165.409,220584,4
0.614,0.463,1,-7.052,1,0.189,0.00923,0.0,0.263,0.252,112.789,104471,5
0.76,0.546,11,-13.092,1,0.0616,0.0284,0.924,0.103,0.113,118.051,170847,4
0.807,0.49,1,-8.451,0,0.353,0.177,0.0,0.0937,0.431,113.982,162027,4
0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,231339,4
0.479,0.802,5,-6.252,1,0.309,0.55,0.00045,0.11,0.602,74.98,392139,4
0.777,0.793,0,-4.42,1,0.31,0.0797,0.0,0.736,0.88,152.072,180250,4
0.624,0.796,6,-5.413,0,0.169,0.0541,0.0,0.258,0.704,145.212,225133,4
0.754,0.718,3,-4.747,0,0.0388,0.00784,0.0,0.13,0.0743,125.976,218053,4
0.71,0.556,11,-6.443,1,0.188,0.00179,0.0,0.36,0.372,79.035,164074,4
0.919,0.629,1,-5.17,1,0.376,0.0226,0.0,0.146,0.407,135.05,156444,4
0.775,0.491,1,-7.395,0,0.297,0.366,0.0,0.117,0.309,139.897,234587,4
0.906,0.484,11,-6.679,1,0.369,0.0171,0.000263,0.143,0.432,145.037,239667,4
0.848,0.63,9,-6.543,1,0.266,0.161,0.0,0.13,0.602,148.092,162162,4
0.926,0.791,5,-4.553,1,0.273,0.00255,0.0,0.0772,0.473,139.166,158727,5
0.865,0.79,11,-6.676,1,0.11,0.17,0.0,0.117,0.288,137.994,140005,4
0.767,0.599,0,-7.56,0,0.363,0.053,0.0,0.215,0.513,156.103,234453,4
0.896,0.74,0,-3.432,1,0.303,0.000444,0.0,0.11,0.807,147.027,154732,4
0.805,0.788,1,-3.436,1,0.297,0.151,0.00106,0.132,0.634,155.842,126154,4
