danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.55,0.707,1,-6.228,0,0.0324,0.329,2.26e-06,0.0982,0.491,136.309,212661,4
0.574,0.506,9,-7.578,0,0.0345,0.733,0.0,0.106,0.596,111.118,248341,4
0.617,0.371,1,-10.364,1,0.0356,0.488,0.00582,0.069,0.588,139.931,221187,4
0.56,0.463,7,-9.601,1,0.421,0.775,0.0,0.128,0.896,155.711,162490,4
0.63,0.759,0,-5.148,0,0.0475,0.0154,0.0,0.0851,0.597,124.24,200320,4
0.688,0.905,7,-3.361,1,0.054,0.378,0.0,0.411,0.85,112.075,129987,4
0.609,0.759,6,-4.862,1,0.0276,0.028,0.0,0.183,0.774,114.045,215760,4
0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460,4
0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,305001,4
0.722,0.676,11,-5.885,0,0.0829,0.000835,1.2e-05,0.321,0.362,129.943,213427,4
0.701,0.417,6,-7.818,0,0.0329,0.0888,0.000648,0.375,0.186,95.003,194840,4
0.562,0.437,0,-10.229,1,0.052,0.219,2.18e-05,0.0806,0.15,124.852,277506,4
0.605,0.942,7,-4.549,1,0.0655,0.016,0.0,0.137,0.8,106.562,209347,4
0.565,0.839,4,-5.161,0,0.0332,0.000335,0.113,0.329,0.855,134.98,191133,4
0.301,0.452,10,-9.931,1,0.0452,0.742,0.0219,0.152,0.363,120.04,217070,4
0.817,0.356,2,-13.663,1,0.454,0.17,0.604,0.0706,0.968,159.59,162307,4
0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,228922,4
0.745,0.318,6,-10.635,1,0.0511,0.478,0.1,0.113,0.134,120.056,261238,4
0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739,171960,4
0.626,0.499,7,-7.904,1,0.0511,0.304,0.0,0.504,0.647,104.708,176493,4
0.53,0.829,3,-6.741,1,0.0558,0.273,0.000255,0.354,0.285,125.746,198680,4
0.823,0.461,9,-12.75,0,0.0366,0.647,0.327,0.14,0.798,114.026,176316,4
0.449,0.434,1,-11.777,1,0.243,0.306,2.76e-06,0.633,0.371,78.57,224893,5
0.31,0.884,1,-3.484,1,0.0566,1.13e-05,3.03e-06,0.121,0.276,137.762,205080,4
0.482,0.453,0,-8.864,1,0.059,0.0323,0.00243,0.149,0.17,134.799,200338,4
0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,279507,4
0.469,0.289,5,-10.625,0,0.0366,0.85,2.48e-06,0.161,0.258,133.805,257380,4
0.514,0.545,1,-7.96,0,0.224,0.35,0.0149,0.162,0.611,100.027,205027,4
0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,116630,3
0.412,0.727,9,-6.001,1,0.0369,0.318,0.00171,0.257,0.583,117.551,303600,4
0.732,0.703,11,-7.224,1,0.0314,0.104,0.0417,0.109,0.836,108.979,156772,4
0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,207455,4
0.607,0.86,0,-5.21,1,0.0437,0.000298,0.123,0.0745,0.556,120.038,141978,4
0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,229760,4
0.474,0.944,11,-4.48,1,0.0679,0.0374,0.306,0.0918,0.357,137.362,189511,4
0.635,0.849,5,-5.33,1,0.0346,0.000821,0.618,0.193,0.708,119.994,250053,4
0.552,0.904,11,-4.891,0,0.114,0.0027,8.85e-06,0.0786,0.746,171.788,96133,4
0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267,4
0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,153947,4
0.612,0.675,9,-6.518,0,0.0231,0.0994,0.0,0.217,0.763,97.04,201547,4
0.609,0.809,11,-4.972,0,0.0344,0.00386,0.00296,0.349,0.763,118.04,140760,4
0.626,0.75,7,-4.928,1,0.0617,0.565,0.0255,0.209,0.676,109.954,193493,4
0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007,195873,4
0.618,0.704,4,-4.686,1,0.0321,0.159,0.000264,0.358,0.742,124.218,165744,4
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,158293,4
0.693,0.446,6,-12.38,1,0.0299,0.13,0.212,0.24,0.74,126.967,215767,4
0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,205933,4
0.415,0.748,4,-5.008,1,0.0481,0.00305,0.0,0.0903,0.154,120.056,258419,4
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4
0.359,0.691,1,-2.626,1,0.0438,0.000112,0.00167,0.101,0.311,116.888,197187,4
0.461,0.651,1,-8.81,0,0.0568,0.418,1.26e-05,0.782,0.383,121.07,278480,4
0.595,0.741,11,-5.601,1,0.0293,0.501,0.0,0.383,0.706,130.047,263840,4
0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,4
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,184516,3
0.421,0.695,6,-4.346,1,0.0428,0.218,2.97e-06,0.155,0.45,156.344,165834,4
0.502,0.798,1,-5.909,1,0.0414,0.00291,1.11e-05,0.0979,0.307,126.976,234933,4
0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-05,0.198,0.913,119.008,262624,4
0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,248934,1
0.415,0.665,9,-6.374,1,0.0291,0.0792,3.6e-06,0.0926,0.721,202.173,218745,4
0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587,4
0.483,0.695,0,-5.493,1,0.0313,0.00461,0.000661,0.102,0.294,126.209,295333,4
0.62,0.409,1,-10.146,1,0.0282,0.77,0.0542,0.105,0.582,113.946,135067,3
0.669,0.919,7,-2.262,0,0.0711,0.0357,6.81e-06,0.222,0.538,96.955,196864,4
0.67,0.684,2,-7.47,1,0.0242,0.513,0.0103,0.126,0.852,94.261,173118,4
0.322,0.899,4,-4.459,1,0.0931,0.009,9.63e-06,0.591,0.406,165.931,185277,4
0.722,0.815,7,-6.677,1,0.0655,0.0265,2.71e-06,0.167,0.341,111.93,203670,4
0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4
0.697,0.874,5,-2.15,0,0.0449,0.0122,0.0,0.627,0.775,132.018,213880,4
0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.915,167933,4
0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,4
0.646,0.47,0,-10.697,0,0.0284,0.4,0.0348,0.11,0.651,113.995,258714,4
0.642,0.753,11,-5.352,0,0.0577,0.609,4e-05,0.231,0.698,122.027,162909,4
0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4
0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,173889,4
0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,184841,4
0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041,192721,4
0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424,4
0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459,4
0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,186192,4
