danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.564,0.676,11,-10.49,0,0.0647,0.0543,0.0524,0.106,0.286,160.039,251053,4
0.523,0.543,2,-9.544,1,0.0385,0.0694,0.00234,0.0516,0.489,175.944,236080,4
0.72,0.151,0,-13.929,1,0.0371,0.94,3.44e-06,0.113,0.39,112.008,213227,4
0.641,0.241,2,-15.247,1,0.0692,0.868,0.00347,0.0955,0.611,91.704,210427,4
0.508,0.258,7,-14.186,1,0.0305,0.932,0.000152,0.0964,0.574,95.169,274600,4
0.525,0.63,6,-6.673,1,0.0317,0.00119,0.0,0.146,0.236,106.978,285120,4
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,4
0.625,0.336,6,-9.59,0,0.0277,0.853,0.000129,0.09,0.386,115.987,224060,4
0.682,0.492,7,-7.148,1,0.0313,0.0538,1.51e-05,0.106,0.254,93.987,211000,4
0.701,0.419,4,-9.778,1,0.0698,0.841,8.72e-05,0.0946,0.61,116.076,220345,4
0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,205907,4
0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,251034,4
0.525,0.216,6,-13.551,1,0.0301,0.837,0.0,0.107,0.328,106.761,185413,4
0.413,0.807,11,-3.499,0,0.318,0.0537,0.0,0.631,0.438,149.336,296147,4
0.556,0.384,1,-10.49,0,0.0281,0.771,0.00138,0.139,0.137,99.984,228364,3
0.51,0.787,6,-6.126,0,0.0312,0.00188,0.676,0.359,0.211,159.858,230406,4
0.432,0.664,9,-7.281,0,0.0363,0.00296,0.758,0.117,0.277,196.083,172437,4
0.42,0.691,9,-8.56,1,0.0501,0.31,0.0427,0.109,0.0383,115.326,301733,4
0.584,0.408,1,-7.356,0,0.0461,0.476,0.0,0.18,0.333,115.129,246735,4
0.491,0.867,6,-2.313,0,0.103,0.167,0.0,0.458,0.602,167.965,189187,4
0.319,0.571,10,-8.039,0,0.0425,0.033,0.69,0.113,0.522,82.592,360000,4
0.439,0.173,4,-13.79,0,0.0452,0.874,0.0,0.117,0.27,130.28,270133,4
