danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.818,0.623,9,-5.901,0,0.043,0.201,0.0,0.112,0.968,120.104,138000,4
0.662,0.48,2,-12.58,1,0.0542,0.749,0.000314,0.118,0.669,134.944,174222,3
0.449,0.434,1,-11.777,1,0.243,0.306,2.76e-06,0.633,0.371,78.57,224893,5
0.767,0.527,10,-8.153,0,0.235,0.469,0.0,0.162,0.613,154.002,190253,4
0.714,0.483,4,-9.378,0,0.195,0.436,2.3e-05,0.28,0.67,91.025,139293,4
0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,146390,4
0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,375387,4
0.642,0.527,2,-9.444,1,0.0534,0.808,4.28e-05,0.154,0.566,133.062,261291,4
0.594,0.663,6,-7.588,1,0.0292,0.00512,0.123,0.162,0.806,111.123,182607,4
0.678,0.68,0,-5.477,1,0.0324,0.42,0.0401,0.139,0.673,93.021,134971,4
0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,320720,4
0.541,0.619,1,-8.746,0,0.254,0.167,0.00633,0.144,0.491,163.908,214693,4
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,127921,3
0.414,0.473,11,-8.911,0,0.116,0.663,0.0523,0.128,0.409,100.0,129698,4
0.647,0.537,6,-12.006,0,0.21,0.43,0.000258,0.119,0.846,84.46,142500,4
0.646,0.682,7,-5.847,1,0.0759,0.683,4.84e-06,0.107,0.421,131.895,176732,4
0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,4
0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,121573,4
0.839,0.655,9,-5.793,1,0.049,0.161,0.00026,0.153,0.754,123.004,218400,3
0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4
0.46,0.771,9,-7.088,0,0.328,0.518,0.000197,0.0774,0.296,88.83,210280,4
0.766,0.354,6,-9.486,1,0.0543,0.595,0.0,0.381,0.792,153.902,126464,4
0.421,0.602,1,-10.176,1,0.41,0.078,0.000325,0.109,0.0393,71.819,172296,4
0.656,0.701,1,-7.056,0,0.0937,0.419,1.2e-05,0.102,0.826,90.024,181483,4
0.644,0.931,8,-5.343,0,0.0687,0.148,0.0558,0.386,0.912,174.881,109819,4
0.672,0.436,9,-11.743,1,0.0326,0.71,0.147,0.117,0.557,105.003,247455,4
0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
0.707,0.562,0,-7.621,1,0.0305,0.124,1.58e-05,0.561,0.418,98.094,252026,4
0.59,0.498,9,-6.845,1,0.0827,0.162,0.0,0.0947,0.504,80.022,194337,4
0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,323253,4
0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007,195873,4
0.565,0.665,6,-6.143,1,0.0914,0.042,1.1e-06,0.0811,0.38,96.278,142566,4
0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,225973,4
0.777,0.788,7,-8.025,1,0.203,0.545,0.0,0.0997,0.546,128.218,196272,4
0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,271387,4
0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4
0.71,0.643,7,-14.703,1,0.194,0.0451,0.0,0.0628,0.687,167.948,160566,4
0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,305350,4
0.708,0.554,10,-6.83,0,0.0311,0.403,0.0428,0.126,0.564,103.999,182347,4
0.526,0.589,9,-6.399,1,0.0374,0.00335,1.44e-06,0.338,0.345,146.952,197551,4
0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4
0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
