name,artist
"FTCU (feat. Travis Scott, Chris Brown & Sexyy Red) - SLEEZEMIX",Nicki Minaj
Breathe,Yeat
Swear to God (feat. Future),Tee Grizzley
Never Lose Me,Flo Milli
Survivor’s Remorse,Roddy Ricch
H.Y.B. (feat. Bas & Central Cee),J. Cole
U My Everything (feat. Drake),Sexyy Red
Winners In Paris,Sleepy Hallow
Angels In The Sky,Polo G
OKAY,JT
Enough (Miami),Cardi B
5AM IN PHILLY,Meek Mill
BOA,Megan Thee Stallion
Messed Up As Me,Keith Urban
I Had Some Help (Feat. Morgan Wallen),Post Malone
Beautiful As You,Thomas Rhett
your place,Ashley Cooke
Wind Up Missin’ You,Tucker Wetmore
A Bar Song (Tipsy),Shaboozey
Austin (Boots Stop Workin'),Dasha
Worst Way,Riley Green
ghost in my guitar (feat. Chris Stapleton),Alana Springsteen
Holy Smokes,Bailey Zimmerman
Cowgirls (feat. ERNEST),Morgan Wallen
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs
Indifferent,Megan Moroney
"Love You, Miss You, Mean It",Luke Bryan
Make It Look Easy,Avery Anna
Bulletproof,Nate Smith
What He'll Never Have,Dylan Scott
Called Crazy,Kassi Ashton
Darlin',Chase Matthew
Burn It Down - Radio Edit,Parker McCollum
Good On You,Priscilla Block
Devil You Know,Tyler Braden
Old Dirt Roads,Owen Riegling
Breakin' in Boots,Matt Stell
Whiskey Blues,Tanner Adell
Single Again,Josh Ross
Jack and Diet Coke,Redferrin
Boys Back Home,Dylan Marlowe
TEXAS HOLD 'EM,Beyoncé
Miles On It,Marshmello
Strangers,Kameron Marlowe
we don't fight anymore,Carly Pearce
Pink Skies,Zach Bryan
Wildflowers and Wild Horses (Single Version),Lainey Wilson
All Again,Charles Wesley Godwin
Damn Near Normal,Koe Wetzel
Dirt Cheap,Cody Johnson
Wranglers,Miranda Lambert
Halfway To Hell,Jelly Roll
Life With You,Kelsey Hart
The Devil I Know,Ashley McBryde
Heartbreaker,Warren Zeiders
This Heart,Corey Kent
I Tried A Ring On,Tigirlily Gold
Tucson Too Late,Jordan Davis
Chevrolet (feat. Jelly Roll),Jelly Roll
Easy To Miss,MacKenzie Porter
Bigger Houses,Dan + Shay
smoke & a light,Ole 60
Think I'm In Love With You,Chris Stapleton
Starburster,Fontaines D.C.
Too Sweet,Hozier
Take A Bite,beabadoobee
Lost In Space,Foster The People
misses,Dominic Fike
Calling After Me,Wallows
Neon Pill,Cage The Elephant
Creatures in Heaven,Glass Animals
Feel Like That (feat. Bradley Nowell),Sublime
Murder on the Dance Floor - triple j Like A Version,Royel Otis
Run Your Mouth,The Marías
Home,Good Neighbours
End of Beginning,Djo
Superstar,Rainbow Kitten Surprise
Sinner,The Last Dinner Party
The Glass,Foo Fighters
Rock N Roller,KALEO
Panoramic View,AWOLNATION
Dilemma,Green Day
Top 10 staTues tHat CriEd bloOd,Bring Me The Horizon
Nice to Meet You,Imagine Dragons
The Craving - single version,Twenty One Pilots
i like the way you kiss me,Artemas
LUNCH,Billie Eilish
Tejano Blue,Cigarettes After Sex
Karma Police,Pierce The Veil
Leave a Light On (Talk Away The Dark),Papa Roach
Feeling For You,Milky Chance
run away girl,Alice Merton
Scared,Joywave
Scared To Start,Michael Marcagi
"Good Luck, Babe!",Chappell Roan
All A Mystery,Phantogram
Loving You,Cannons
I'm in Love,Jelani Aryeh
Sexy to Someone,Clairo
Too Much,girl in red
Broken Man,St. Vincent
Wreckage,Pearl Jam
My Condition,Dead Poet Society
Tiny Moves,Bleachers
Edge of the Earth,The Beaches
